id,fach,wert,schueler_id,schueler_name,lehrer_id,lehrer_name,datum
1,Mathe,1,1,Max Mustermann,1,Anna Schmidt,2026-06-03 09:35:07
2,Mathe,1,2,Alex K,1,Anna Schmidt,2026-06-10 08:18:16
3,Deutsch,1,2,Alex K,1,Anna Schmidt,2026-06-10 08:18:16
4,Englisch,1,2,Alex K,1,Anna Schmidt,2026-06-10 08:18:17
5,Chemie,1,2,Alex K,1,Anna Schmidt,2026-06-10 08:18:18
6,Physik,1,2,Alex K,1,Anna Schmidt,2026-06-10 08:18:18
7,Mathe,1,3,Hüseyin Ötzsensoy,1,Anna Schmidt,2026-06-10 08:22:23
8,Deutsch,1,3,Hüseyin Ötzsensoy,1,Anna Schmidt,2026-06-10 08:22:24
9,Englisch,1,3,Hüseyin Ötzsensoy,1,Anna Schmidt,2026-06-10 08:22:24
10,Chemie,1,3,Hüseyin Ötzsensoy,1,Anna Schmidt,2026-06-10 08:22:25
11,Physik,1,3,Hüseyin Ötzsensoy,1,Anna Schmidt,2026-06-10 08:22:26
12,Mathe,1,4,Marc Putz,1,Anna Schmidt,2026-06-10 08:22:27
13,Deutsch,1,4,Marc Putz,1,Anna Schmidt,2026-06-10 08:22:28
14,Englisch,1,4,Marc Putz,1,Anna Schmidt,2026-06-10 08:22:28
15,Chemie,1,4,Marc Putz,1,Anna Schmidt,2026-06-10 08:22:29
16,Physik,1,4,Marc Putz,1,Anna Schmidt,2026-06-10 08:22:29
17,Mathe,2,5,Max Mustermann,1,Anna Schmidt,2026-06-10 08:23:29
18,Deutsch,3,5,Max Mustermann,1,Anna Schmidt,2026-06-10 08:23:29
19,Englisch,2,5,Max Mustermann,1,Anna Schmidt,2026-06-10 08:23:30
20,Chemie,1,5,Max Mustermann,1,Anna Schmidt,2026-06-10 08:23:30
21,Physik,4,5,Max Mustermann,1,Anna Schmidt,2026-06-10 08:23:31
22,Mathe,1,6,Gabriel Zitturi,1,Anna Schmidt,2026-06-10 08:24:51
23,Deutsch,1,6,Gabriel Zitturi,1,Anna Schmidt,2026-06-10 08:24:52
24,Englisch,1,6,Gabriel Zitturi,1,Anna Schmidt,2026-06-10 08:24:52
25,Chemie,1,6,Gabriel Zitturi,1,Anna Schmidt,2026-06-10 08:24:52
26,Physik,1,6,Gabriel Zitturi,1,Anna Schmidt,2026-06-10 08:24:53
27,Mathe,2,7,Johan Laucher,1,Anna Schmidt,2026-06-10 08:27:38
28,Deutsch,3,7,Johan Laucher,1,Anna Schmidt,2026-06-10 08:27:38
29,Englisch,1,7,Johan Laucher,1,Anna Schmidt,2026-06-10 08:27:38
30,Chemie,3,7,Johan Laucher,1,Anna Schmidt,2026-06-10 08:27:39
31,Physik,2,7,Johan Laucher,1,Anna Schmidt,2026-06-10 08:27:39
32,Mathe,1,8,Petta Oberlechner,1,Anna Schmidt,2026-06-10 08:36:12
33,Deutsch,1,8,Petta Oberlechner,1,Anna Schmidt,2026-06-10 08:36:13
34,Englisch,1,8,Petta Oberlechner,1,Anna Schmidt,2026-06-10 08:36:13
35,Chemie,1,8,Petta Oberlechner,1,Anna Schmidt,2026-06-10 08:36:14
36,Physik,1,8,Petta Oberlechner,1,Anna Schmidt,2026-06-10 08:36:14
37,Mathe,1,9,Henry Buchner,1,Anna Schmidt,2026-06-10 08:41:07
38,Deutsch,1,9,Henry Buchner,1,Anna Schmidt,2026-06-10 08:41:08
39,Englisch,1,9,Henry Buchner,1,Anna Schmidt,2026-06-10 08:41:08
40,Chemie,1,9,Henry Buchner,1,Anna Schmidt,2026-06-10 08:41:09
41,Physik,1,9,Henry Buchner,1,Anna Schmidt,2026-06-10 08:41:09
42,Mathe,2,10,Maxi Lechner,1,Anna Schmidt,2026-06-10 08:52:37
43,Deutsch,1,10,Maxi Lechner,1,Anna Schmidt,2026-06-10 08:52:38
44,Englisch,3,10,Maxi Lechner,1,Anna Schmidt,2026-06-10 08:52:38
45,Chemie,2,10,Maxi Lechner,1,Anna Schmidt,2026-06-10 08:52:39
46,Physik,1,10,Maxi Lechner,1,Anna Schmidt,2026-06-10 08:52:40
47,Mathe,1,11,Peta Lechtaler,1,Anna Schmidt,2026-06-10 09:02:29
48,Deutsch,3,11,Peta Lechtaler,1,Anna Schmidt,2026-06-10 09:02:30
49,Englisch,4,11,Peta Lechtaler,1,Anna Schmidt,2026-06-10 09:02:30
50,Chemie,2,11,Peta Lechtaler,1,Anna Schmidt,2026-06-10 09:02:31
51,Physik,1,11,Peta Lechtaler,1,Anna Schmidt,2026-06-10 09:02:31
52,Mathe,1,12,Anton Schmit,1,Anna Schmidt,2026-06-10 09:09:09
53,Deutsch,2,12,Anton Schmit,1,Anna Schmidt,2026-06-10 09:09:10
54,Englisch,3,12,Anton Schmit,1,Anna Schmidt,2026-06-10 09:09:10
55,Chemie,4,12,Anton Schmit,1,Anna Schmidt,2026-06-10 09:09:11
56,Physik,3,12,Anton Schmit,1,Anna Schmidt,2026-06-10 09:09:11
57,Mathe,1,13,Jakop Neuer,1,Anna Schmidt,2026-06-13 19:38:28
58,Deutsch,2,13,Jakop Neuer,1,Anna Schmidt,2026-06-13 19:38:29
59,Englisch,3,13,Jakop Neuer,1,Anna Schmidt,2026-06-13 19:38:29
60,Chemie,1,13,Jakop Neuer,1,Anna Schmidt,2026-06-13 19:38:30
61,Physik,2,13,Jakop Neuer,1,Anna Schmidt,2026-06-13 19:38:30
